"State","Permit_ID","Permittee","Mine_Name","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Avail_Bond","Full_Bond","Min_Deficit","Mid_Deficit","Max_Deficit","Mine_Status","Bond_Status","Acres","Post_SMCRA"
"Virginia","1702303","JEWELL VALLEY MINING LLC","FLATROCK PLANT & REFUSE","[1741, 1753, 1770]",1013.67167502,670792.1260269,1006188.188966,1341584.252015,2095700,2095700,-1424907.8739731,-1089511.811034,-754115.747985,"ACT/NOT PRDCNG","Bonded",280,1
"Virginia","1102079","JUSTICE LOW SEAM MINING, INC.","DALTON BRANCH SURFACE MINE","[2069]",225.37848867,75784.7174776,113677.076204,151569.434939,9e+05,9e+05,-824215.2825224,-786322.923796,-748430.565061,"ACTIVE","Bonded",299.1,1
"Virginia","1102121","KEN ENERGY CORPORATION","DAVIS NO. 1 MINE","[1186]",116.66734697,39801.303395,59701.9551,79602.6068,438000,438000,-398198.696605,-378298.0449,-358397.3932,"ACT/NOT PRDCNG","Bonded",236.15,1
"Virginia","1600752","LAMBERT COAL COMPANY, INC.","JAKES BRANCH","[1167]",255.48528247,188462.54075,282693.81115,376925.08146,0,0,188462.54075,282693.81115,376925.08146,"Released","Released",0,NA
"Virginia","1101812","LAMBERT COAL COMPANY, INC.","BIRD STRIP & AUGER","[1344]",120.2682284,48262.88428,72394.32641,96525.76855,0,0,48262.88428,72394.32641,96525.76855,"Released","Released",0,NA
"Virginia","2336","Laurel Creek Coal Company","","[1760]",273.24618471,127759.40615,191639.10918,255518.81227,0,0,127759.40615,191639.10918,255518.81227,"Revoked","Forfeited",68,0
"Virginia","1500387","LOWER CLINTWOOD COAL COMPANY","LOWER CLINTWOOD COAL COMPANY","[1084]",75.14677621,36986.45377,55479.68065,73972.90754,0,0,36986.45377,55479.68065,73972.90754,"Released","Released",0,NA
"Virginia","2398","Maco Coal, Inc.","","[1289, 1296, 1297]",828.28246437,408252.5849,612378.87737,816505.16981,0,0,408252.5849,612378.87737,816505.16981,"Revoked","Forfeited",155,0
"Virginia","1101929","MID-VOL COAL SALES, INC.","VIRGINIA POINT SURFACE MINE","[2187, 2194, 2191, 2190, 2200]",2141.45318195,1673270.938937,2509906.408315,3346541.877763,2673000,2673000,-999729.061063,-163093.591685,673541.877763,"ACTIVE","Bonded",892.78,1
"Virginia","1101681","MOTIVATION COAL COMPANY","BLACK BEAR #2 SURFACE MINE","[1418, 1422]",481.88585343,214642.084843,321963.12726,429284.16971,0,0,214642.084843,321963.12726,429284.16971,"Released","Released",0,NA
"Virginia","1701819","NALLY & HAMILTON ENTERPRISES, INC.","RODA COMPLEX","[702]",238.93470096,51996.1524615,77994.2286968,103992.3049231,0,415600,-363603.8475385,-337605.7713032,-311607.6950769,"Phase 3","Released",NA,1
"Virginia","1101861","PARAMONT COAL COMPANY VIRGINIA, LLC","LOVERS GAP #4 SURFACE MINE","[1463]",135.80668466,27981.8719739,41972.8079659,55963.7439579,0,0,27981.8719739,41972.8079659,55963.7439579,"Released","Released",0,NA
"Virginia","1101863","PARAMONT COAL COMPANY VIRGINIA, LLC","BLACK BEAR #3 SURFACE MINE","[1400]",69.11203049,35207.33854,52811.00782,70414.67709,0,0,35207.33854,52811.00782,70414.67709,"Released","Released",0,NA
"Virginia","1201874","PARAMONT COAL COMPANY VIRGINIA, LLC","STEELS FORK UPPER BANNER DEEP MINE (VICC #11)","[1161, 1166]",734.97796965,389321.63433,583982.45158,778643.26869,0,0,389321.63433,583982.45158,778643.26869,"Released","Released",0,NA
"Virginia","1601872","PARAMONT COAL COMPANY VIRGINIA, LLC","LAWSON HOLLOW SURFACE/DEEP MINE","[1244]",68.03798358,35417.878426,53126.81763,70835.75684,0,0,35417.878426,53126.81763,70835.75684,"Released","Released",0,NA
"Virginia","1501867","PARAMONT COAL COMPANY VIRGINIA, LLC","DALE RIDGE DOCK","[1173, 1176, 1171]",2733.80124036,1491519.354384,2237279.0314615,2983038.708725,0,0,1491519.354384,2237279.0314615,2983038.708725,"Released","Released",0,NA
"Virginia","1101038","PARAMONT COAL CORPORATION","","[1045]",26.07374652,10436.65181,15654.97771,20873.30361,0,0,10436.65181,15654.97771,20873.30361,"Released","Released",0,NA
"Virginia","1101347","PARAMONT COAL CORPORATION","DUCK CAMP BRANCH MINE","[1098]",227.9796634,61611.15447,92416.73171,123222.30895,0,0,61611.15447,92416.73171,123222.30895,"Released","Released",0,NA
"Virginia","1101743","PARAMONT COAL CORPORATION","BIRCHFIELD #5 MINE","[1040]",272.22048092,264431.366787,396647.050171,528862.733565,0,0,264431.366787,396647.050171,528862.733565,"Released","Released",0,NA
"Virginia","1102180","PARAMONT CONTURA, LLC","THREE FORKS SURFACE MINE","[1548]",759.93716987,473386.426561,710079.639808,946772.853204,4950000,4950000,-4476613.573439,-4239920.360192,-4003227.146796,"ACTIVE","Bonded",2060.74,1
"Virginia","1102218","PARAMONT CONTURA, LLC","TRACE FORK #3 MINE","[1197]",203.91583758,75010.539718,112515.809557,150021.079418,0,0,75010.539718,112515.809557,150021.079418,"Released","Released",0,NA
"Virginia","1102192","PARAMONT CONTURA, LLC","DRY FORK","[1237, 1238, 1233]",364.01931876,134914.38148,202371.57224,269828.76301,0,0,134914.38148,202371.57224,269828.76301,"Released","Released",0,NA
"Virginia","2800","Raptor, Inc.","","[1099]",96.53499802,64217.2258,96325.8387,128434.45161,0,0,64217.2258,96325.8387,128434.45161,"Revoked","Forfeited",178.5,0
"Virginia","1100033","RED RIVER COAL COMPANY, INC.","FOX GAP MINE","[876, 888, 886, 880]",635.68130027,687242.909086,1030864.36358,1374485.81811,831300,831300,-144057.090914,199564.36358,543185.81811,"ACT/NOT PRDCNG","Bonded",459.09,1
"Virginia","1601576","RED RIVER COAL COMPANY, INC.","BLACK CREEK SURFACE MINE","[916]",63.97098319,27635.48918,41453.23376,55270.97835,903700,903700,-876064.51082,-862246.76624,-848429.02165,"ACT/NOT PRDCNG","Bonded",1331.78,1
"Virginia","1100084","RED RIVER COAL COMPANY, INC.","DIXIANA PERMIT","[910]",289.26989488,205727.194959,308590.792539,411454.390018,127800,127800,77927.194959,180790.792539,283654.390018,"ACTIVE","Bonded",93.71,1
"Virginia","1101760","RED RIVER COAL COMPANY, INC.","BACKBONE RIDGE SURFACE MINE","[865, 867, 861]",1041.65720873,1313159.931942,1969739.897972,2626319.86398,834200,834200,478959.931942,1135539.897972,1792119.86398,"RECLAIMED/ACT.","Bonded",464.36,1
"Virginia","1101272","RED RIVER COAL COMPANY, INC.","FLAT GAP MINE","[850, 881]",372.09962008,414090.386229,621135.57935,828180.77256,448400,448400,-34309.6137709999,172735.57935,379780.77256,"RECLAIMED/ACT.","Bonded",230.71,1
