"Permit_ID","Permittee","Mine_Name","Orig_Bond","Curr_Bond","Avail_Bond","Mine_Status","Bond_Status","Highwall_Comp","Highwall_Viol","Highwall_Total","Acres","Issue_Date","Per_Type","Type_Flag","Post_SMCRA","Full_Bond","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Min_Deficit","Mid_Deficit","Max_Deficit"
"8980890","REVELATION ENERGY, LLC, BEING RECLAIMED BY INDEMNITY NATIONAL INSURANCE COMPANY","",301278,170689,170689,"Surety Reclamation","Bonded",465,0,465,470.2479375,2011-11-10,"PERMANENT","ACT",1,170689,"[1502]",67.82747707,7239.495227,10859.24284,14478.99045,-163449.504773,-159829.75716,-156210.00955
"8980892","REVELATION ENERGY, LLC, BEING RECLAIMED BY INDEMNITY NATIONAL INSURANCE COMPANY","Calloway North Surface Mine",14784500,4867000,4867000,"Surety Reclamation","Bonded",0,9150,9150,980.3803092,2012-01-11,"PERMANENT","ACT",1,4867000,"[1465, 1439, 1438, 1441, 1442, 1444, 1450, 1448, 1459]",1891.28051036,847439.753434,1271159.630185,1694879.506784,-4019560.246566,-3595840.369815,-3172120.493216
"8360442","REVELATION ENERGY, LLC, BEING RECLAIMED BY INDEMNITY NATIONAL INSURANCE COMPANY","",6868600,2909300,2909300,"Surety Reclamation","Bonded",0,3950,3950,695.2965641,2015-10-01,"PERMANENT","ACT",1,2909300,"[967, 969, 981, 987]",1772.22840981,647311.518354,970967.277522,1294623.036736,-2261988.481646,-1938332.722478,-1614676.963264
"8980985","REVELATION ENERGY, LLC, BEING RECLAIMED BY INDEMNITY NATIONAL INSURANCE COMPANY","Bevins Branch North",10359800,4729900,4729900,"Surety Reclamation","Bonded",0,7824,7824,1183.102535,2015-09-15,"PERMANENT","ACT",1,4729900,"[991, 1004, 995]",1271.57551026,1051134.344352,1576701.516538,2102268.688623,-3678765.655648,-3153198.483462,-2627631.311377
"8600554","REVELATION ENERGY, LLC, BEING RECLAIMED BY INDEMNITY NATIONAL INSURANCE COMPANY","",461300,88400,88400,"Surety Reclamation","Bonded",0,630,630,42.75317941,2015-06-05,"PERMANENT","ACT",1,88400,"[722]",214.5018814,95503.4454,143255.1681,191006.89079,7103.4454,54855.1681,102606.89079
"8360437","REVELATION ENERGY, LLC, BEING RECLAIMED BY INDEMNITY NATIONAL INSURANCE COMPANY","",3273200,374100,374100,"Surety Reclamation","Bonded",0,0,0,234.7502185,2015-07-07,"PERMANENT","ACT",1,374100,"[894, 892]",909.73391709,317723.503811,476585.255738,635447.007663,-56376.4961889999,102485.255738,261347.007663
"8670521","REVELATION ENERGY, LLC, BEING RECLAIMED BY INDEMNITY NATIONAL INSURANCE COMPANY","Trace Fork Surface Mine",8983600,641800,641800,"Surety Reclamation","Bonded",0,2045,2045,1474.152342,2014-12-01,"PERMANENT","ACT",1,641800,"[692, 739, 749, 742]",1869.29729436,1699820.792762,2549731.189082,3399641.585463,1058020.792762,1907931.189082,2757841.585463
"8805192","REVELATION ENERGY, LLC, BEING RECLAIMED BY INDEMNITY NATIONAL INSURANCE COMPANY","Aldridge Branch",2918400,1649600,1649600,"Surety Reclamation","Bonded",0,4400,4400,537.3953099,2014-04-03,"PERMANENT","ACT",1,1649600,"[1146, 1150, 1158]",805.38839754,507777.609617,761666.41452,1015555.2192,-1141822.390383,-887933.58548,-634044.7808
"8805195","REVELATION ENERGY, LLC, BEING RECLAIMED BY INDEMNITY NATIONAL INSURANCE COMPANY","Van Lear Mine",20000,0,0,"Permit Released","Released",NA,NA,NA,8024.646475,2014-04-11,"PERMANENT","INACT",1,0,"[1195]",181.0341245,68147.09075,102220.63614,136294.18151,68147.09075,102220.63614,136294.18151
"8670569","RGB RESOURCES AND DEVELOPMENT LLC","",427100,257300,257300,"Actively Producing","Bonded",420,0,420,143.1257065,2022-10-06,"PERMANENT","ACT",NA,257300,"[650]",184.9821771,58739.99207,88109.98811,117479.98415,-198560.00793,-169190.01189,-139820.01585
"800066","SAARCAR COAL INC","",291330,0,0,"Permit Released","Released",NA,NA,NA,461.2320625,1981-11-30,"INTERIM","INACT",NA,0,"[920]",162.71778793,216444.51625,324666.77428,432889.0324,216444.51625,324666.77428,432889.0324
"8485445","SABER MINING COMPANY, INC","",83100,0,83100,"Final Forfeiture","Forfeited",NA,NA,NA,21.94914567,2006-10-02,"PERMANENT","INACT",1,83100,"[304]",57.93095694,11571.82686,17357.74029,23143.65372,-71528.17314,-65742.25971,-59956.34628
"8480270","SEQUOIA ENERGY LLC","Darby Highwall #2",2714600,1378900,1378900,"Revoked","Bonded",NA,NA,NA,1413.202018,2010-04-15,"PERMANENT","ACT",1,1378900,"[357]",84.78545001,44946.85022,67420.27533,89893.70044,-1333953.14978,-1311479.72467,-1289006.29956
"8480274","SEQUOIA ENERGY LLC","Contour Darby - Slaters Fork",232300,242800,242800,"Revoked","Bonded",NA,NA,NA,183.9852175,2010-10-14,"PERMANENT","ACT",1,242800,"[369]",171.85334447,45787.803638,68681.70545,91575.60727,-197012.196362,-174118.29455,-151224.39273
