"Permit_ID","Permittee","Mine_Name","Bond_Amount","Avail_Bond","Bond_Type","Mine_Status","Bond_Status","Issue_Date","Acres","Anniversary","App_Date","App_No","Mine_Type","Post_SMCRA","Trans_From","Release_Date","Mountaintop","Underground","Steep_Slope","Auger_Mining","Non_AOC","Remining","Remining_Acres","Layer","Full_Bond","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Min_Deficit","Mid_Deficit","Max_Deficit"
"1100757","H & G MINING COMPANY","H & G MINING COMPANY",0,0,"P","Released","Released",1985-10-01,0,2003-10-01,"",NA,"Surface-Contour/Surface - Auger",NA,"","","N","N","Y","Y","N","N",0,"Released_Permit_Boundaries",0,"[1096]",76.79108431,48846.03581,73269.05373,97692.07164,48846.03581,73269.05373,97692.07164
"1601982","HAROLD KEENE COAL COMPANY, INC.","THE BANNER MINE",462000,462000,"P","ACT/NOT PRDCNG","Bonded",2006-08-29,153.25,2019-08-29,"2006/08/29",1007783,"Surface - Auger/Undergrd. - R P/Surface-Contour",1,"","","N","Y","N","Y","N","Y",153.25,"CSMO_Permit_Boundaries",462000,"[1723, 1717, 1730, 1733]",956.65614711,461712.66392,692568.99583,923425.32787,-287.336079999979,230568.99583,461425.32787
"1102128","HAROLD KEENE COAL COMPANY, INC.","LOUIS LOWE MINE",4821500,4821500,"C","ACT/NOT PRDCNG","Bonded",2014-11-07,426.87,2020-11-07,"2014/11/07",1010041,"Surface-Contour/Surface - Auger/Surf-Steep Slop",1,"","","N","Y","Y","Y","N","Y",358.89,"CSMO_Permit_Boundaries",4821500,"[1659, 1665, 1668, 1660, 1662]",659.96690825,291811.97008,437717.95511,583623.94016,-4529688.02992,-4383782.04489,-4237876.05984
"1602329","INMET MINING, LLC","STONEGA #1 STRIP (BLUFF SPUR MINE)",9924100,9924100,"C","ACT/NOT PRDCNG","Bonded",2000-02-01,384.97,2024-02-01,"2000/02/01",1010774,"Surface - Area/Surface - Auger/Undergrd. - R P/Surface-Contour",1,"1602248","","N","Y","Y","Y","N","N",0,"CSMO_Permit_Boundaries",9924100,"[763, 765, 769, 779, 768]",1163.74317389,793574.860342,1190362.29055,1587149.720714,-9130525.139658,-8733737.70945,-8336950.279286
"1102365","INMET MINING, LLC","NINE MILE SPUR #5",1200200,1200200,"C","ACT/NOT PRDCNG","Bonded",2002-08-29,530.51,2019-08-29,"2002/08/29",1011148,"Surface - Auger/Surface-Contour/Undergrd. - R P",1,"1102213","","N","Y","Y","Y","N","Y",130.3,"CSMO_Permit_Boundaries",1200200,"[711]",143.33237555,57236.02376,85854.03563,114472.0475,-1142963.97624,-1114345.96437,-1085727.9525
"1102299","JEWELL VALLEY MINING LLC","FLATROCK NORTHEAST",492900,492900,"C","ACT/NOT PRDCNG","Bonded",2012-10-04,147.71,2019-10-04,"2012/10/04",1010799,"Surface - Auger/Surface-Contour",1,"1102084","","N","Y","N","Y","N","Y",147.71,"CSMO_Permit_Boundaries",492900,"[1738, 1740, 1742, 1748, 1754]",1695.59710261,787491.973721,1181237.960578,1574983.947427,294591.973721,688337.960578,1082083.947427
"1702302","JEWELL VALLEY MINING LLC","SURFACE MINE #1",1828900,1828900,"C","ACT/NOT PRDCNG","Bonded",2002-01-16,196.03,2022-01-16,"2002/01/16",1010737,"Surface - Auger/Undergrd. - R P/Surface-Contour/AF-Refuse Disp",1,"1702261","","N","Y","Y","Y","N","Y",85.25,"CSMO_Permit_Boundaries",1828900,"[1879]",103.1808388,31830.69274,47746.03911,63661.38547,-1797069.30726,-1781153.96089,-1765238.61453
"1702303","JEWELL VALLEY MINING LLC","FLATROCK PLANT & REFUSE",2095700,2095700,"C","ACT/NOT PRDCNG","Bonded",2006-04-10,280,2021-04-10,"2006/04/10",1010800,"AF-Refuse Disp/Undergrd. - R P/Surface - Auger/Surface-Contour/PREP PLANT/Surf-Steep Slop",1,"1702276","","N","Y","Y","Y","N","Y",257.91,"CSMO_Permit_Boundaries",2095700,"[1741, 1753, 1770]",1013.67167502,670792.1260269,1006188.188966,1341584.252015,-1424907.8739731,-1089511.811034,-754115.747985
"1102079","JUSTICE LOW SEAM MINING, INC.","DALTON BRANCH SURFACE MINE",9e+05,9e+05,"P","ACTIVE","Bonded",2012-02-09,299.1,2023-02-09,"2012/02/09",1009916,"Surface - Area/AF-Refuse Disp",1,"","","N","Y","N","N","N","N",0,"CSMO_Permit_Boundaries",9e+05,"[2069]",225.37848867,75784.7174776,113677.076204,151569.434939,-824215.2825224,-786322.923796,-748430.565061
"1102121","KEN ENERGY CORPORATION","DAVIS NO. 1 MINE",438000,438000,"P","ACT/NOT PRDCNG","Bonded",2014-05-19,236.15,2026-05-19,"2014/05/19",1010257,"Surface-Contour/Surface - Auger",1,"","","N","Y","Y","Y","N","Y",191.89,"CSMO_Permit_Boundaries",438000,"[1186]",116.66734697,39801.303395,59701.9551,79602.6068,-398198.696605,-378298.0449,-358397.3932
"1600752","LAMBERT COAL COMPANY, INC.","JAKES BRANCH",0,0,"P","Released","Released",1985-09-11,0,1990-09-11,"",NA,"Combination",NA,"1600562","","","","","","","",0,"Released_Permit_Boundaries",0,"[1167]",255.48528247,188462.54075,282693.81115,376925.08146,188462.54075,282693.81115,376925.08146
"1101812","LAMBERT COAL COMPANY, INC.","BIRD STRIP & AUGER",0,0,"P","Released","Released",2002-10-08,0,2007-10-08,"",NA,"Surface - Auger/Surface-Contour",NA,"","","N","Y","Y","Y","N","Y",56.2,"Released_Permit_Boundaries",0,"[1344]",120.2682284,48262.88428,72394.32641,96525.76855,48262.88428,72394.32641,96525.76855
"2336","Laurel Creek Coal Company","",0,0,"","Revoked","Forfeited",NA,68,NA,"",NA,"",0,"","09/03/1980","","","","","","",NA,"Bond_Forfeiture_Boundaries",0,"[1760]",273.24618471,127759.40615,191639.10918,255518.81227,127759.40615,191639.10918,255518.81227
"1500387","LOWER CLINTWOOD COAL COMPANY","LOWER CLINTWOOD COAL COMPANY",0,0,"P","Released","Released",1983-12-16,0,1988-12-16,"",NA,"Surface - Area/Surface-Contour/AF-Refuse Disp",NA,"247201X","","","","","","","",0,"Released_Permit_Boundaries",0,"[1084]",75.14677621,36986.45377,55479.68065,73972.90754,36986.45377,55479.68065,73972.90754
"2398","Maco Coal, Inc.","",0,0,"","Revoked","Forfeited",NA,155,NA,"",NA,"",0,"","09/01/1978","","","","","","",NA,"Bond_Forfeiture_Boundaries",0,"[1289, 1296, 1297]",828.28246437,408252.5849,612378.87737,816505.16981,408252.5849,612378.87737,816505.16981
"1101929","MID-VOL COAL SALES, INC.","VIRGINIA POINT SURFACE MINE",2673000,2673000,"P","ACTIVE","Bonded",2004-11-23,892.78,2024-11-23,"2004/11/23",1010340,"Surface-Contour/Surf-Steep Slop/Surface - Auger",1,"","","N","Y","Y","Y","Y","Y",871.65,"CSMO_Permit_Boundaries",2673000,"[2187, 2194, 2191, 2190, 2200]",2141.45318195,1673270.938937,2509906.408315,3346541.877763,-999729.061063,-163093.591685,673541.877763
"1101681","MOTIVATION COAL COMPANY","BLACK BEAR #2 SURFACE MINE",0,0,"P","Released","Released",1999-03-16,0,2003-03-16,"",NA,"Surface-Contour/Surface - Area/Surface - Auger",NA,"","","N","","Y","Y","Y","Y",367.05,"Released_Permit_Boundaries",0,"[1418, 1422]",481.88585343,214642.084843,321963.12726,429284.16971,214642.084843,321963.12726,429284.16971
