"Permit_ID","Permittee","Operator","Mine_Name","Bond_Amount","Avail_Bond","Mine_Status","Bond_Status","Mine_Type","Acres","Acres_Dist","Acres_Orig","Acres_Recl","Expir_Date","Issue_Date","PMLU","PMLU_2","Post_SMCRA","Vio_Active","Vio_Total","WebLink","Full_Bond","Highwall_IDs","Highwall_Length","Highwall_Cost_Min","Highwall_Cost_Mid","Highwall_Cost_Max","Min_Deficit","Mid_Deficit","Max_Deficit"
"S400110","CM ENERGY OPERATIONS, LP","","McDonald Fork Surface Mine",1969920,1969920,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",862.02,234.18,738.1,70.68,2026-04-11,2016-04-11,"Forestland",NA,1,-999,9,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S400110&dep_office_id=OMR&responsible_party_name=CM ENERGY OPERATIONS, LP",1969920,"[1950, 1959, 1952, 1964]",820.69672814,229637.91521,344456.87282,459275.83042,-1740282.08479,-1625463.12718,-1510644.16958
"S500604","COAL-MAC LLC","CHAFIN BRANCH COAL CO LLC","SURFACE MINE NO. 2",294402,294402,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",244.34,18.76,322.44,214.89,2025-12-28,2005-12-28,"Fish and Wildlife Habitat/Recreation","Combined",1,3,43,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500604&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",294402,"[1806]",139.9309965,64171.64424,96257.46635,128343.2885,-230230.35576,-198144.53365,-166058.7115
"O505189","COAL-MAC LLC","BIG SOUTH MINING & CONST CO I",NA,40000,40000,"A3-Active, Reclaimed","Bonded","Other - Haulroad Only",39.33,34.83,30.57,3.36,2029-10-17,1989-10-17,"Public Service","Forestland",1,-999,8,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=O505189&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",40000,"[1524]",345.30984938,159621.75039,239432.62558,319243.50079,119621.75039,199432.62558,279243.50079
"S500692","COAL-MAC LLC","SOUTHERN WEST VIRGINIA RESOURCES, LLC","BIG SANG KILL #1",557000,557000,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",595.41,62.05,505,531.46,2017-10-16,1992-10-16,"Fish and Wildlife Habitat/Recreation","Industrial / Commercial",1,1,45,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500692&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",557000,"[1428]",206.44212944,100769.161743,151153.742644,201538.323465,-456230.838257,-405846.257356,-355461.676535
"S501806","COAL-MAC LLC","","PEG FORK SURFACE MINE",639000,639000,"IA-Approved inactive Status","Bonded","Coal Surface Mine",870.1,185.42,816.58,185.42,2018-02-07,2008-02-07,"Public Service","Industrial / Commercial",1,-999,24,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S501806&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",639000,"[1394, 1386]",688.8717782,331546.258781,497319.38824,663092.51751,-307453.741219,-141680.61176,24092.51751
"S500522","COAL-MAC LLC","","Eagle No.3 Surface Mine",189040,189040,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",138.58,-999,138.58,-999,2027-11-04,2022-11-04,"Fish and Wildlife Habitat/Recreation",NA,1,-999,1,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500522&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",189040,"[1849, 1852]",924.83779972,510813.48725,766220.230795,1021626.97452,321773.48725,577180.230795,832586.97452
"S500617","COAL-MAC LLC","","Painted Rock Surface Mine",409000,409000,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",582.7,226.22,507.63,117.44,2028-10-04,2018-10-04,"Fish and Wildlife Habitat/Recreation",NA,1,-999,12,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500617&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",409000,"[1593]",550.40695482,534030.10788,801045.16184,1068060.21574,125030.10788,392045.16184,659060.21574
"S500802","COAL-MAC LLC","","TAYWOOD WEST SURFACE MINE",171600,171600,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",485.6,130.49,354.54,163.94,2025-08-09,2005-08-09,"Forestland",NA,1,-999,28,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500802&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",171600,"[1331]",211.75946328,169481.9556449,254222.933367,338963.91119,-2118.04435510002,82622.933367,167363.91119
"S500213","COAL-MAC LLC","","Laurel Fork Surface Mine",656000,656000,"AM-Active, Moving Coal","Bonded","Coal Surface Mine",676.9,256.26,656.5,43.72,2030-07-09,2015-07-09,"Forestland",NA,1,-999,8,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500213&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",656000,"[1599, 1590, 1591]",1884.28918748,1985178.948726,2977768.423095,3970357.897203,1329178.948726,2321768.423095,3314357.897203
"S500905","COAL-MAC LLC","EAGLE CREEK MINING LLC","MT-500 SURFACE MINE",302160,302160,"IA-Approved inactive Status","Bonded","Coal Surface Mine",426.28,-1,1079.83,-999,2016-07-13,2006-07-13,"Fish and Wildlife Habitat/Recreation",NA,1,-999,22,"https://apps.dep.wv.gov/WebApp/_dep/search/Permits/OMR/Permit_details.cfm?permit_id=S500905&dep_office_id=OMR&responsible_party_name=COAL-MAC LLC",302160,"[1366]",153.1510773,75787.77584,113681.66376,151575.55168,-226372.22416,-188478.33624,-150584.44832
