"Highwall_ID","State","Num_Segments","Rec_Status","Rec_Status_Yr","Earliest_Vis_Yr","First_Mined_Yr","Last_Mined_Yr","Max_Age","Min_Age","Mid_Age","Age_Uncertainty","Raw_Length","Length","Max_Top_Elevation","Min_Base_Elevation","Avg_Height","Min_Cost","Mid_Cost","Max_Cost","Lidar_Yr","Lidar_Project","All_Permit_IDs","Max_Slope","Mean_Slope","Med_Slope","Permit_ID","Permittee","Mine_Name","Avail_Bond","Full_Bond","Mine_Status","Bond_Status","Post_SMCRA"
207,"Kentucky",4,"Unreclaimed",2024,2010,2006,2014,19,14,16.5,2.5,248.48405594,229.36636033,725.6410116,702.0577905,13.7735569225,72660.751868,108991.12781,145321.50375,2023,1,"[8070374, 8070435]",60,50.95555556,51,"8070374","STRATA MINING INC","Poplar Lick & Strays Surface",0,0,"Permit Released","Released",1
208,"Kentucky",3,"Unreclaimed",2024,1995,1984,1991,41,29,35,6,258.34558418,240.05235039,325.6049315,308.7856553,14.24835605,83904.35272,125856.52909,167808.70545,2023,1,"[0260021, 0260084]",59,51.64516129,51,"260084","LEGEND COAL CO INC","",155940,155940,"Final Forfeiture","Forfeited",NA
209,"Kentucky",2,"Revegetated",2022,1995,2008,2014,27,27,27,0,170.87244867,162.08568372,522.3330994,506.416303,15.020074395,59980.39689,89970.59533,119960.79378,2023,1,"[8070385]",59,50.55172414,51,"8070385","EVANS COAL CORP","Tinsley Mine",0,0,"Permit Released","Released",1
214,"Kentucky",1,"Revegetated",2024,1995,1985,1987,40,29,34.5,5.5,105.4575601,97.10210314,330.439924,316.0816746,14.35824941,32729.02176,49093.53264,65458.04352,2023,1,"[0260076]",58,52.22222222,51.5,"260076","TRINITY COAL CO INC","",0,0,"Permit Released","Released",NA
215,"Kentucky",4,"Revegetated",2024,1995,1984,1996,41,29,35,6,355.30165636,341.88313824,292.2769825,270.9375559,16.4854249525,154339.00165,231508.5025,308678.00333,2023,1,"[0260137, 509776X]",58,50.43939394,51,"260137","LITTLE GOOSE COAL CO INC","",158280,158280,"Final Forfeiture","Forfeited",NA
216,"Kentucky",1,"Unreclaimed",2022,2022,2022,2023,3,0,1.5,1.5,118.8130855,115.3958767,423.8398062,406.4215349,17.41827132,57240.28612,85860.42918,114480.5722,2023,1,"[249173X, 8610500]",59,52.69230769,55,"8610500","NALLY & HAMILTON ENTERPRISES, INC.","Four Mile 2",1332300,1332300,"Reclamation Only","Bonded",1
220,"Kentucky",1,"Unreclaimed",2022,2022,2021,2023,4,0,2,2,132.2924102,125.7144728,483.8357928,471.9427367,11.89305604,29071.91307,43607.86961,58143.82614,2023,1,"[249173X, 8610500]",58,50.05882353,52,"8610500","NALLY & HAMILTON ENTERPRISES, INC.","Four Mile 2",1332300,1332300,"Reclamation Only","Bonded",1
252,"Kentucky",1,"Revegetated",2022,1995,1984,1989,41,27,34,7,123.7760943,118.8323801,482.5387538,466.5627762,15.97597757,49587.37089,74381.05634,99174.74179,2023,1,"[8260681]",58,52.68421053,54,"8260681","B & W RESOURCES, INC.","Joshua L. Wagers (Mine #1)",94000,94000,"Non-Disturbed","Bonded",1
282,"Kentucky",4,"Revegetated",2024,2004,2001,2011,24,20,22,2,397.38215833,381.13655629,621.6816948,606.1354777,13.37366168,112514.68891,168772.03336,225029.37782,2023,1,"[8075307, 8070407]",62,50.52542373,50,"8075307","KAMCO LLC","",739600,739600,"Suspended","Bonded",NA
285,"Kentucky",1,"Revegetated",2025,1995,1986,1988,39,30,34.5,4.5,107.5481161,98.76413788,387.0669344,373.5720114,13.49492294,29406.37543,44109.56314,58812.75086,2023,1,"[8130271, 0130181]",59,52.91666667,53.5,"8130271","STURGEON MINING COMPANY, INC.","813-0271",1855300,1855300,"Active Operations","Bonded",1
287,"Kentucky",3,"Unreclaimed",2024,1995,1993,1998,32,29,30.5,1.5,179.90168149,168.77491545,620.464334,600.2411499,10.6328609553333,55705.67367,83558.510504,111411.34736,2023,1,"[8075216]",60,51.21052632,51.5,"8075216","CHAS COAL LLC","",0,0,"Permit Released","Released",1
290,"Kentucky",1,"Revegetated",2025,1995,1987,1989,38,30,34,4,109.04125,102.6292099,398.3330623,384.8382525,13.49480982,30556.66306,45834.99459,61113.32612,2023,1,"[460075X, 332175X]",60,53.26666667,53,"460075X","","",0,0,"","Not Bonded",0
291,"Kentucky",2,"Revegetated",2025,1995,1989,1990,36,30,33,3,188.94192252,179.42766179,401.3127756,383.5567965,15.179213455,67745.24387,101617.86582,135490.48775,2023,1,"[8970288]",59,51.92592593,52,"8970288","B & G COAL SALES","",0,0,"Permit Released","Released",1
292,"Kentucky",2,"Revegetated",2025,1995,1985,1996,40,30,35,5,238.0587026,227.134006,393.4141209,373.6935471,16.80588649,104881.06633,157321.59949,209762.1327,2023,1,"[0130139]",65,52.56,52,"130139","TENKILLER MINING SERVICES INC","",64500,64500,"Final Forfeiture","Forfeited",NA
293,"Kentucky",3,"Revegetated",2025,1995,1988,1990,37,30,33.5,3.5,284.20504148,266.53021907,396.5621805,383.0644038,11.95414038,63039.25705,94558.88558,126078.5141,2023,1,"[8970288]",58,50.48780488,50,"8970288","B & G COAL SALES","",0,0,"Permit Released","Released",1
294,"Kentucky",2,"Revegetated",2025,1995,1989,1991,36,30,33,3,118.05587065,112.16887084,399.4353588,384.1611992,14.27883088,39322.40355,58983.60531,78644.80708,2023,1,"[8970288]",58,50.55,49.5,"8970288","B & G COAL SALES","",0,0,"Permit Released","Released",1
295,"Kentucky",2,"Revegetated",2025,1995,1989,1990,36,30,33,3,198.68137795,191.39717356,403.1918669,379.6687876,15.89558496,80985.00655,121477.50982,161970.01306,2023,1,"[8970288]",60,49.68421053,51.5,"8970288","B & G COAL SALES","",0,0,"Permit Released","Released",1
296,"Kentucky",1,"Revegetated",2025,1995,1989,1990,36,30,33,3,138.5890051,131.546199,395.6827371,378.5635274,17.11920967,63029.97406,94544.96109,126059.9481,2023,1,"[8970288]",60,50.83333333,49.5,"8970288","B & G COAL SALES","",0,0,"Permit Released","Released",1
299,"Kentucky",1,"Revegetated",2024,1995,1984,1989,41,29,35,6,82.72625719,76.42674762,408.4386407,394.3244125,14.11422829,24892.07242,37338.10863,49784.14485,2023,1,"[4480042]",60,50.89473684,52,"4480042","ENERGY PRODUCERS ASSC INC","",27400,27400,"Final Forfeiture","Forfeited",1
300,"Kentucky",4,"Revegetated",2024,2004,1987,1991,38,20,29,9,305.12726281,282.61432567,645.4976196,628.1841747,9.6504754255,53006.714136,79510.071215,106013.428294,2023,1,"[0480095, 8480294, 8480117, 8480170]",60,50.4375,50,"8480294","NALLY & HAMILTON ENTERPRISES, INC.","Right Fork #1",254700,254700,"Non-Disturbed","Bonded",1
303,"Kentucky",6,"Revegetated",2024,2004,1987,1991,38,20,29,9,611.94180309,575.51432002,635.8112974,616.5867725,12.0627737776667,141862.90739,212794.36105,283725.81477,2023,1,"[0480095, 8480294, 8480117, 8480313]",61,51.51960784,52,"8480294","NALLY & HAMILTON ENTERPRISES, INC.","Right Fork #1",254700,254700,"Non-Disturbed","Bonded",1
304,"Kentucky",1,"Revegetated",2024,1995,1990,2009,35,29,32,3,61.46952236,57.93095694,397.0932413,386.0398661,11.05337517,11571.82686,17357.74029,23143.65372,2023,1,"[8485445]",58,51.3125,51,"8485445","SABER MINING COMPANY, INC","",83100,83100,"Final Forfeiture","Forfeited",1
308,"Kentucky",5,"Revegetated",2025,1995,1985,2011,40,30,35,5,461.29677084,435.85556097,441.3001099,420.3416443,14.726057212,155765.30036,233647.95053,311530.60071,2023,1,"[8660265]",60,50.25641026,50,"8660265","H & R COAL COMPANY","MINE NO 1",0,0,"Permit Released","Released",1
311,"Kentucky",5,"Revegetated",2025,2004,2002,2016,23,21,22,1,529.03782312,507.53273625,378.1847995,359.9606014,14.787683078,187925.64553,281888.46829,375851.29107,2023,1,"[8970434, 8130313]",65,52.37962963,52,"8970434","MINNEHAN MINING LLC","",497200,497200,"Final Forfeiture","Forfeited",1
312,"Kentucky",1,"Revegetated",2024,1995,1984,1996,41,29,35,6,106.2879699,102.1481257,626.4385697,611.4073241,15.03124558,37733.03557,56599.55336,75466.07115,2023,1,"[0660089, 75164, 8480233]",58,52,51,"660089","B W H COAL INC","",65205,65205,"Final Forfeiture","Forfeited",NA
313,"Kentucky",2,"Revegetated",2025,2004,2002,2015,23,21,22,1,200.74415051,192.75277313,374.5663146,360.5448729,13.254698735,55730.07426,83595.11139,111460.14852,2023,1,"[8970434, 8130313]",58,51.375,52.5,"8970434","MINNEHAN MINING LLC","",497200,497200,"Final Forfeiture","Forfeited",1
314,"Kentucky",4,"Unreclaimed",2022,1995,1987,2007,38,27,32.5,5.5,409.26058671,389.70136055,323.7084045,302.5774968,10.972217663,95950.679959,143926.019946,191901.359961,2023,1,"[8130139]",63,50.328125,51,"8130139","CABLE COAL COMPANY","",0,0,"Permit Released","Released",1
